Punjabi	పంజాబీ
Siddhanta	సిద్ధాంతం
Voskanyan	వోస్కన్యాన్
Sumangali	సుమంగళీ
Narayanapet	నారాయణపేట
Noida	నోయిడా
Vishnu	విష్ణువు
Maitri	మైత్రి
pauni	పౌని
Daasi	దాసి
Pembarthi	పెంబర్తి
Kithakithalu	కితకితలు
Peteru	పేటేరు
Avatar	అవతార్
Simpson	సింప్సన్
Memorial	మెమోరియల్
Sravana	శ్రావణ
Gopalapatnam	గోపాలపట్నం
Peetham	పీఠం
Baiyappanahalli	బైయప్పనహళ్లి
Vattigudipadu	వట్టిగుడిపాడు
Vadlamudi	వడ్లమూడి
Gabbro	గాబ్రో
Surampalli	సూరంపల్లి
Pothireddypadu	పోతిరెడ్డిపాడు
Rellivalasa	రెల్లివలస
Dhupia	ధుపియా
Kunwar	కున్వర్
Ganesh	గణేష్
Pupul	పుపుల్
Mama	మామ
Paranjpye	పరాంజ్పే
Suit	సూటు
Rathika	రతికా
Janardhana	జనార్ధన్
Lotus	లోటస్
Chandrika	చంద్రికా
Caricaceae	కారికేసి
Devineni	దేవినేని
Marar	మరార్
Aalasyam	ఆలస్యం
Nandeeswarudu	నందీశ్వరుడు
Recovery	రికవరీ
Bharat	భారత్‌
Narsimhaiah	నర్సింహయ్య
Liu	లియు
Karl	కార్ల్
Britney	బ్రిట్నీ
Ghassan	ఘసన్
Yagam	యాగం
Laplaces	లాప్లాస్
Eve	ఈవ్
Chandala	చండాలుడు
Parchur	పర్చూరు
Hathya	హత్య
Mozambique	మొజాంబిక్
Spirulina	స్పైరులీనా
plasma	ప్లాస్మా
Swapnam	స్వప్నం
Pamban	పంబన్
Marampalli	మారంపల్లి
Kalluri	కల్లూరి
Reddy	రెడ్డి
Gajapati	గజపతి
Viaduct	వయాడక్ట్
Mamidi	మామిడి
Harvey	హార్వే
Kafir	కాఫిర్
Kamaladevi	కమలాదేవి
Ravikant	రవికాంత్
KanakerZeytun	కనాకర్జేత్యున్
Rapur	రాపూరు
Hairy	హేరీ
Welding	వెల్డింగ్
Minneapolis	మిన్నియాపోలిస్
Kahn	కహ్న్
Jalalpuram	జలాల్‌పురం
Abbi	అబ్బి
Gruhalakshmi	గృహలక్ష్మి
Ammaye	అమ్మాయే
H	హెచ్
HySIS	హైసిస్
Marriott	మారియట్
Prasanthi	ప్రశాంతి
Sangupalem	సంగుపాలెం
Andersen	ఆండర్సన్
Aryan	ఆర్యన్
Maharadhi	మహారథి
Plague	ప్లేగు
Challagalla	చల్లగల్ల
Dwivedula	ద్వివేదుల
Vidyasagar	విద్యాసాగర్
Edvard	ఎడ్వార్డ్
Perecherla	పేరేచర్ల
Shaishunaga	శిశునాగ
Agropedia	ఆగ్రోపీడియా
Natakala	నాటకాల
Economics	ఎకనామిక్స్
Guha	గుహ
Pothineni	పోతినేని
Neredcherla	నేరేడుచర్ల
Nivasam	నివాసం
Vijayanagara	విజయనగర
Himayatnagar	హిమాయత్‌నగర్
Sultanpur	సుల్తాన్‌పూర్
Anupam	అనుపమ్‌
Chatterjee	చటర్జీ
Byamokesvara	బ్యామొకేశ్వర
Abbaigaru	అబ్బాయిగారు
Basavapunnaiah	బసవపున్నయ్య
Mallesham	మల్లేశం
Kudapa	కుదప
Madana	మదన
Prabhakar	ప్రభాకర
Velpur	వేల్పూర్
Kavalakuntla	కవలకుంట్ల
Sirish	శిరీష్
Maqbul	మక్బూల్
Brahmajosyula	బ్రహ్మజోస్యుల
Hydrogen	హైడ్రోజన్
Fabales	ఫాబేలిస్
Nalinimohan	నళినీమోహన్
Murugan	మురుగన్
Janjgir	జాంజ్‌గిర్
Lakshmi	లక్ష్మి
Sirpur	సిర్పూర్
Secularism	సెక్యులరిజం
Pedapalem	పెదపాలెం
Narasambudhi	నరసంబుధి
Lottery	లాటరీ
Nouka	నౌక
Dhoom	ధూమ్‌
Aravinda	అరవింద
Kamathe	కమతే
Sapatham	శపథం
Flerovium	ఫ్లెరోవియం
Unified	యూనిఫైడ్
Laos	లావోస్
Tanker	ట్యాంకర్
Naadi	నాదీ
Yuvaraju	యువరాజు
Friedrich	ఫ్రెడెరిక్
Thappu	తప్పు
Brahmanagudem	బ్రాహ్మణగూడెం
Ammu	అమ్ము
Devdas	దేవదాసు
Marlene	మార్లిన్
Rajaram	రాజారాం
Dhulikatta	ధూళికట్ట
Bennington	బెన్నింగ్టన్
Chandipriya	చండీప్రియ
Jonnawada	జొన్నవాడ
Chandrabose	చంద్రబోస్
December	డిసెంబర్
Cristo	క్రిస్టొ
Bejawada	బెజవాడ
Moser	మోసర్
Kasaraneni	కాసరనేని
Akalidi	ఆకలిది
Sandwich	శాండ్‌విచ్
Doctor	డాక్టరేట్
Balabhadrapuram	బలభద్రాపురం
Malliswari	మల్లీశ్వరి
Animesh	అనిమేష్
Lahore	లాహోర్
Vanamali	వనమాలి
Sakhiya	సఖియా
Kesavadasu	కేశవదాసు
Sivaramakrishnan	శివరామకృష్ణన్
Mallepalli	మల్లేపల్లె
Bhavati	భవతి
Shola	షోల
Yogeeta	యోగీతా
Bharatanatyam	భరతనాట్యం
Cleopatra	క్లియోపాత్రా
Somasekhara	సోమశేఖర
Chandrasekar	చంద్రశేఖర్
Ambika	అంబిక
Jadavpur	జాదవ్‌పూర్
Baramulla	బారాముల్లా
Breweries	బ్రూవరీస్
Trivedi	త్రివేది
Hayat	హయత్‌
Tenneti	తెన్నేటి
Sambhal	సంబల్
Muvva	మువ్వ
Kalidindi	కలిదిండి
Krishnarjuna	కృష్ణార్జున
da	డా
Dabbuki	డబ్బుకు
Chevitikallu	చెవిటికల్లు
Rathod	రాథోడ్
Nandakumar	నందకుమార్
Meyer	మేయర్
Swayamsevak	స్వయంసేవక్
Sastroulou	శాస్త్రులు
Vibhishana	విభీషణుడు
Hemang	హేమంగ్
South	సౌత్
Tavleen	తవ్లీన్
IsraeliPalestinian	ఇజ్రాయెలీపాలస్తీనియన్
Meenakshi	మీనాక్షీ
Tripuri	త్రిపురి
Dost	దోస్త్
Brosnan	బ్రోస్నన్
Aspidistra	ఆస్పీడిస్ట్రా
Pesaravai	పెసరవాయి
Murari	మురారిరావు
Microsoft	మైక్రోసాఫ్ట్
Reddicherla	రెడ్డిచెర్ల
Mumtaz	ముంతాజ్‌
Ireland	ఐర్లాండ్
Chadastapu	చాదస్తపు
Shopping	షాపింగ్
Sandhya	సంధ్యా
Jalna	జాల్నా
Physics	ఫిజిక్స్
Gadgil	గాడ్గిల్
Chintoor	చింతూరు
Adil	ఆదిల్
Aspari	ఆస్పరి
Tadikonda	తాడికొండ
Link	లింక్
Byrraju	బైర్రాజు
microscopy	మైక్రోస్కోపీ
Raipur	రాయపూర్
fountain	ఫౌంటైన్
Abhimanyudu	అభిమన్యుడు
Riders	రైడర్స్
Kandikuppa	కందికుప్ప
Kamasamudram	కామసముద్రం
Sriramulu	శ్రీరాములు
Shutter	షట్టరు
Hydrofluoric	హైడ్రోఫ్లోరిక్
Bharathi	భారతి
Cavanal	కవనల్
Trikonasana	త్రికోణాసనం
Utsav	ఉత్సవ్
Nankana	నాన్కానా
Dakkili	డక్కిలి
Ramdas	రామదాస్
Ajeyudu	అజేయుడు
artery	ఆర్టరీ
Nerabailu	నెరబైలు
Belarus	బెలారస్
Goshamahal	గోషామహల్
Growth	గ్రోత్
Dharmottara	ధర్మోత్తర
Bruce	బ్రూస్
Talatampara	తలతంపర
Mamagaru	మామగారు
Goblet	గోబ్లెట్
Laser	లేజర్‌
Newman	న్యూమాన్
Tallapudi	తాళ్ళపూడి
Sengupta	సేన్‌గుప్తా
Armenia	అర్మేనియా
Rawat	రావత్
Kirtan	కీర్తన
Behari	బిహారి
Kruger	క్రూగర్
Polavaram	పోలవరం
Gaduggai	గడుగ్గాయి
Garden	గార్డెన్
Sriharipuram	శ్రీహరిపురం
Jeholornis	జిహోలార్నిస్
Shloka	శ్లోకం
Chanel	చానెల్
Jailor	జైలర్
Gated	గేటెడ్
Rajakota	రాజకోట
Raga	రాగం
Samanasa	సమనస
Satyabhama	సత్యభామ
Forrest	ఫారెస్ట్
Liverpool	లివర్‌పూల్
Ambani	అంబానీ
Mrugam	మృగం
Kong	కాంగ్
Mahatmudu	మహాత్ముడు
Lakshmanaswami	లక్ష్మణస్వామి
Lie	లై
Madanapalle	మదనపల్లె
Vikramorvasiyam	విక్రమోర్వశీయము
Shankarpalli	శంకర్‌పల్లి
Koduku	కొడుకు
Hepatitis	హెపటైటిస్
Naina	నైనా
Magnetic	మాగ్నెటిక్
Jayasuriya	జయసూర్య
Kankanalapalli	కంకణాలపల్లి
Scleroderma	స్క్లెరోడెర్మా
Nemali	నెమలి
Suresh	సురేశ్
Puchalapalli	పుచ్చలపల్లి
Samarth	సమర్థ
Padmalaya	పద్మాలయా
Karna	కర్ణుడు
Mahadevi	మహాదేవి
Jayasimha	జయసింహ
Chavithi	చవితి
plate	ప్లేట్
Rajasree	రాజశ్రీ
Manjunatha	మంజునాథ
Sathivada	సతివాడ
Cheraman	చేరామన్
Vrindavan	వ్రిందావన్
Elon	ఎలన్
Internal	ఇంటర్నల్
Jegurupadu	జేగురుపాడు
Capsule	క్యాప్స్యూల్
Parama	పరమ
Varasudochhadu	వారసుడొచ్చాడు
Zingiberaceae	జింజిబరేసి
Plaza	ప్లాజా
Tharani	తరణి
Rane	రాణే
kernel	కెర్నల్
Paritala	పరిటాల
Yamalokam	యమలోకం
Penuguduru	పెనుగుదురు
Srikanth	శ్రీకాంత్
Chapirevula	చాపిరేవుల
Bobbellapadu	బొబ్బెళ్ళపాడు
Mudaliar	మొదలియార్
Kattula	కత్తుల
Mahboob	మహబూబ్
Seshachalam	శేషాచలం
Puli	పులి
Multimeter	మల్టీమీటర్
Yellayapalem	యల్లాయపాళెం
IPad	ఐప్యాడ్
Gopaludu	గోపాలుడు
Harappa	హరప్పా
Rajput	రాజపుత్రులు
Bhudhaar	భూధార్
Porugu	పొరుగు
Sen	సేన్
Raichur	రాయచూరు
Sodium	సోడియం
Greeting	గ్రీటింగ్
Mahendru	మెహేంద్రూ
Thirukadalmallai	తిరుక్కడల్‌మలై
Redemption	రిడంప్షన్
Jignesh	జిగ్నేష్
Big	బిగ్
Bhabha	భాభా
of	అఫ్
Sobha	శోభా
Stemonaceae	స్టెమోనేసి
Punita	పునీతా
Saleem	సలీం
Gopinath	గోపీనాథ్
Mamata	మమత
Vani	వాణీ
Shaaban	షాబాన్
Madnur	మద్నూర్
Sanu	సానూ
Mary	మేరీ
Bansuri	బాన్సురి
Valiveru	వలివేరు
Stockholm	స్టాక్‌హోమ్
Mavillapadu	మావిళ్లపాడు
Chennamma	చెన్నమ్మ
Subrahmanyam	సుబ్రహ్మణ్యం
Kushaiguda	కుషాయిగుడ
Komarada	కొమరాడ
Rana	రాణా
Brunei	బ్రూనై
Sunama	సునామా
Mahabubabad	మహబూబాబాదు
Bhajan	భజన
Namrata	నమ్రతా
Dabirpura	డబీర్‌పూర్
sprinkler	స్ప్రింక్లర్
Kilobyte	కిలోబైట్
Lynch	లించ్
Shubha	సుభా
Happy	హ్యపి
I	ఐ
Avengers	అవెంజర్స్
Chittaprosad	చిత్తప్రసాద్
Pusapatirega	పూసపాటిరేగ
supply	సప్లై
Dancer	డాన్సర్
Putin	పుతిన్
Thamudu	తమ్ముడు
Download	డౌన్‌లోడ్
Patamata	పటమట
Fields	ఫీల్డ్స్
Guda	గూడ
Trinetrudu	త్రినేత్రుడు
Priya	ప్రియా
Naani	నాని
Babri	బాబ్రీ
Chinnayya	చిన్నయ్య
media	మీడియా
Dwarfs	డ్వార్ఫ్స్
Meghdoot	మేఘదూత్
Saruhashi	సరుహషి
Nadhiya	నదియా
Rati	రతి
Julius	జూలియస్
Chivvemla	చివ్వేంల
Adenocarcinoma	ఎడినోకార్సినోమా
Pothavaram	పోతవరం
Snehamante	స్నేహమంటే
Rosa	రోసా
portability	పోర్టబిలిటి
Ramasingavaram	రామసింగవరం
Amol	అమోల్
Lignite	లిగ్నైట్
Gadichindi	గడిచింది
Chadarangam	చదరంగం
Poondla	పూండ్ల
Nandipet	నందిపేట్
Lutetium	లుటీషియం
Ravichandran	రవిచంద్రన్
Mrcchakatika	మృచ్ఛకటికమ్‌
Lakkidam	లక్కిడాం
Anaximander	అనగ్జిమాండర్
Punishment	పనిష్మెంట్
Gopanna	గోపన్న
Patekar	పటేకర్
Kolluri	కొల్లూరి
Mudgal	ముద్గల్
Kotabommali	కోటబొమ్మాళి
Bhagirathi	భాగీరథి
Ishq	ఇష్క్
Dimbhaka	డింభకా
Adinarayana	ఆదినారాయణ
Abhinandana	అభినందన
Tresa	థెరీసా
Odissi	ఒడిస్సీ
Akkiraju	అక్కిరాజు
Norwegian	నార్వేజియన్
Sontyam	సొంఠ్యాం
Diaspora	డయాస్పొరా
Darur	ధరూరు
Dharanikota	ధరణికోట
Sarma	శర్మ
Manduvavaripalem	మండువవారిపాలెం
Kanu	కను
Thaman	తమన్
Sudarshana	సుదర్శన
Veeru	వీరు
Psoriasis	సోరియాసిస్
Satyanarayan	సత్యనారాయణ
GIF	గిఫ్
Research	రీసెర్చ్
Pettandarulu	పెత్తందార్లు
Aratlakatta	అరట్లకట్ట
Jenna	జెన్నా
Olsen	అల్సెన్
Rene	రెనే
Bharatam	భారతం
Glucose	గ్లూకోస్
Pancreatic	ప్యాంక్రియాటిక్
Akasa	ఆకాశ
Duggirala	దుగ్గిరాల
Vinodam	వినోదం
Simhachalam	సింహాచలం
Rootkit	రూట్‌కిట్
Bhandari	భండారి
Fan	ఫ్యాన్
Pippara	పిప్పర
Saandip	సాందీప్
Kannayya	కన్నయ్య
Cholera	కలరా
Uttarapalli	ఉత్తరాపల్లి
Jnanasrimitra	జ్ఞానశ్రీమిత్ర
Tower	టవర్
Dattatreya	దత్తాత్రేయ
Maheshwari	మహేశ్వరి
Abhijeet	అభిజిత్
De	దే
Jhalawar	ఝలావర్
Dharmanagar	ధర్మనగర్
Nepal	నేపాల్
Theodore	థియోడర్
Tower	టవరు
Paganism	పాగనిజం
Asteraceae	ఆస్టరేసి
Budugu	బుడుగు
Athota	అత్తోట
banking	బ్యాంకింగ్
Shamirpet	షామీర్‌పేట్‌
Domakonda	దోమకొండ
Nihonium	నిహోనియం
Varadamudra	వరదముద్ర
Gallium	గాలియం
Narrawada	నర్రవాడ
Jan	జన్
Romeo	రోమియో
Killer	కిల్లర్
Aadavaallu	ఆడాళ్లూ
cricket	క్రికెట్
Patalkot	పాతాళకోట
Prafulla	ప్రఫుల్ల
Ullasamga	ఉల్లాసంగా
Karwar	కార్వార్
Preminchu	ప్రేమించు
Erebuni	ఎరెబుని
chromate	క్రోమేట్
Manthara	మంథర
Dev	దేవ్
Velli	వెళ్ళి
Protestantism	ప్రొటెస్టంటు
Wickiana	వికియానా
Ponnappa	పొన్నప్ప
Allinagaram	అల్లినగరం
Examinations	ఎగ్జామినేషన్
Lloyds	లాయిడ్స్
Tea	టీ
Opera	ఒపేరా
Sukhani	సుఖానీ
Rafael	రాఫెల్
Anvita	అన్విత
Ho	హో
Oil	ఆయిల్
Chukka	చుక్కా
Saravakota	సారవకోట
INOX	ఐనాక్సు
Maratha	మరాఠా
Ahmedullah	అహ్మదుల్లా
Shaligram	సాలగ్రామం
Duppelli	దుప్పెల్లి
Jammu	జమ్ము
Ojili	ఓజిలి
Epigenetics	ఎపిజెనెటిక్స్
Kapurthala	కపూర్తలా
Modi	మోడి
Performing	పెర్ఫార్మింగ్
Appatlo	అప్పట్లో
Vodka	వోడ్కా
Heavens	హెవెన్స్
Yellanur	ఎల్లనూరు
Solder	సోల్డర్
Osama	ఒసామా
Mothers	మదర్స్
Achyutananda	అచ్యుతానంద
Rishi	రిషి
Vidyanagar	విద్యానగర్
Bagalkot	బాగల్‌కోట్
Kohli	కోహ్లి
Dhruva	ధ్రువుడు
Nick	నిక్
Bronchitis	బ్రాంకైటిస్
Nellie	నెల్లీ
Martyniaceae	మార్టీనియేసి
Mujahideen	ముజాహిదీన్
Godhra	గోధ్ర
Shivlal	శివలాల్
Jayachitra	జయచిత్ర
Chandaluru	చందలూరు
Euclid	యూక్లిడ్
Karn	కర్ణ్
Pakalu	పాకలు
Perry	పెర్రీ
Rajam	రాజాం
Ryan	రియాన్
Neptunium	నెప్ట్యూనియం
Dravida	ద్రవిడ
Uttara	ఉత్తర
Brothers	బ్రదర్స్
leukemia	లుకేమియా
Undrajavaram	ఉండ్రాజవరం
Jericho	జెరిఖో
Malludora	మల్లుదొర
Roman	రోమన్
Spice	స్పైస్
Gagra	గాగ్రా
My	మై
Who	హూ
Gayatri	గాయత్రి
Mamidicolla	మామిడికోళ్ళ
petroleum	పెట్రోలియం
Lalit	లలిత్
Korean	కొరియా
Vastadu	వస్తాడు
Mel	మెల్
Sathupalli	సత్తుపల్లి
Lalitha	లలితా
Edlalanka	ఎడ్లంక
Kamashastra	కామశాస్త్రం
Surappagudem	సూరప్పగూడెం
Mil	మిల్
Pathy	పతి
Kesari	కేసరి
Leukoplakia	ల్యూకోప్లాకియా
Kymograph	కైమోగ్రాఫ్
Gollapudi	గొల్లపూడి
Language	లాంగ్వేజ్
Blackburn	బ్లాక్‌బన్
Pterocarpus	టిరోకార్పస్
Sureddipalem	సూరెడ్డిపాలెం
Dola	డోలా
Administrative	అడ్మినిస్ట్రేటివ్
Lincoln	లింకన్
Rohingya	రోహింగ్యా
Alexandria	అలెగ్జాండ్రియా
Talli	తల్లీ
Guruvunu	గురువును
Velgode	వెలుగోడు
Alapadu	ఆలపాడు
Wells	వెల్స్
Time	టైం
Ehe	ఎహె
Protozoa	ప్రోటోజోవా
Hello	హలో
AlFatiha	అల్ఫాతిహా
Jagadish	జగదీష్
Socratea	సొక్రాటియా
Laxmikant	లక్ష్మీకాంత్
LiFi	లైఫై
Umesh	ఉమేశ్
Bikaner	బికనీర్
Chittemma	చిట్టెమ్మ
Deep	డీప్
Karnati	కర్నాటి
Nicola	నికోలా
Munnangi	మున్నంగి
Sarapaka	సారపాక
Padi	పడి
Donga	దొంగ
Aagraham	ఆగ్రహం
Matha	మాతా
Wadekar	వాడేకర్
Chudham	చూద్దాం
Venigandla	వెనిగండ్ల
Microphone	మైక్రోఫోన్
interface	ఇంటర్‌ఫేస్
Pujita	పూజిత
driver	డ్రైవర్
Middlesex	మిడిల్‌సెక్స్
Addams	ఆడమ్స్
Dore	డోరె
Tilaru	తిలారు
Vachcharu	వచ్చారు
Maham	మాహం
Bijinapalle	బిజినేపల్లి
Pedakakani	పెదకాకాని
Bhaja	భజ
Maitreyi	మైత్రేయి
Tenali	తెనాలి
Galaxy	గెలాక్సీ
Bad	బాడ్
Gulabi	గులాబి
Halloween	హాలోవీన్
Norton	నార్టన్
Hydrobromic	హైడ్రోబ్రోమిక్
Mosagadu	మోసగాడు
Asa	అస
Kamalakur	కమలకూరు
Shivanasamudra	శివసముద్రం
Currency	కరెన్సీ
Propulsion	ప్రొపల్షన్
Purnima	పూర్ణిమా
Manto	మంటో
Gilani	జీలాని
license	లైసెన్సు
Manjula	మంజుల
Doosra	దూస్రా
Bedi	బేడి
Raya	రాయలు
Bhupalpally	భూపాలపల్లి
Chitralahari	చిత్రలహరి
Unbinilium	ఉంబినిలియం
Motwani	మోట్వాని
NDTV	ఎన్డీటీవీ
Myristic	మిరిస్టిక్
Leeds	లీడ్స్
Torricelli	టొర్రిసెల్లి
Before	బిఫోర్‌
Viyyalavari	వియ్యాలవారి
Thiruneermalai	తిరునీర్మలై
Fort	ఫోర్ట్
Girls	గర్ల్స్
Arctic	ఆర్కిటిక్
Missouri	మిస్సోరి
Bava	బావ
Nancy	నాన్సీ
Dochukunduvate	దోచుకుందువటే
Hastings	హేస్టింగ్సు
Akbaruddin	అక్బరుద్దీన్
Aloo	ఆలూ
Vishwaroopam	విశ్వరూపం
Amrapali	ఆమ్రపాలి
Kapu	కాపు
Luis	లువీస్
Janaki	జానకీ
Mayani	మాయని
Dikshit	దీక్షిత్
Patkar	పాట్కర్
Budget	బడ్జెట్
Angul	అంగుల్
Peripheral	పెరిఫెరల్
Tamilisai	తమిళిసై
Interface	ఇంటర్ఫేస్
Malavika	మాళవిక
Razakars	రజాకార్లు
Destroyer	డిస్ట్రాయర్
Kondaiah	కొండయ్య
Choudhury	చౌధరీ
Devdas	దేవదాస్
Allergy	అలర్జీ
Budgam	బుడ్గాం
Shastri	శాస్త్రి
Vaana	వాన
Vanaspati	వనస్పతి
Spanish	స్పానిష్
Idera	ఇదేరా
Madhumasam	మధుమాసం
Potter	పాటర్
Pedakadimi	పెదకడిమి
Pavala	పావలా
Oral	ఓరల్
Analytics	ఎనలిటిక్స్
Wadiyar	ఒడయార్
Rani	రాణి
Rahman	రహ్మాన్
Goodachari	గూఢచారి
Warli	వర్లీ
Gokarnamatam	గోకర్ణమఠం
Chlorine	డైక్లోరిన్
Datta	దత్త
Moolavar	మూలవిరాట్
Ramnagar	రాంనగర్‌
Vineet	వినీత్
Shivaranjani	శివరంజని
Sanjeev	సంజీవ్
Chandrasekharapuram	చంద్రశేఖరపురం
AngloSikh	ఆంగ్లోసిక్ఖు
Telescope	టెలిస్కోపు
Mandali	మండలి
G	జి
Pappala	పప్పల
Kodale	కోడలే
Technology	టెక్నాలజీ
game	గేమ్స్
Kalimilemulu	కలిమిలేములు
Mouna	మౌన
Sujitha	సుజిత
Helicam	హెలిక్యామ్
Ardeshir	అర్దెషీర్
Krishna	కృష్ణ
Boeing	బోయింగ్
Rechukka	రేచుక్క
case	కేస్
Kaul	కౌల్
Suryaa	సూర్య
Chandee	చండీ
Adrushtavanthulu	అదృష్టవంతులు
Lakshmipati	లక్ష్మీపతి
Babruvahana	బభ్రువాహన
drive	డ్రైవ్
Ramineedu	రామినీడు
Sitaphalmandi	సీతాఫల్‌మండి
Scotch	స్కాచ్
America	అమెరికా
Abhang	అభంగాలు
Cucumis	కుకుమిస్
Ajmal	అజ్మల్
Salmaan	సల్మాన్
Nadi	నాది
Bahadur	బహాదుర్
Raghavendar	రాఘవేంద్ర
Speak	స్పీక్
Palpation	పాల్పేషన్
teasing	టీసింగ్
Daredi	దారేది
Chetty	శెట్టి
Ontario	అంటారియో
Nadkarni	నాదకర్ణి
Dekh	దేఖ్
Cold	కోల్డు
Nalwa	నల్వా
Tumanyan	తుమన్యాన్
Podili	పొదిలి
Eknath	ఏకనాథుడు
Kuppuswamy	కుప్పుస్వామి
Chelagaatam	చెలగాటం
Pin	పిన్
Jandhyala	జంధ్యాల
Ayyare	అయ్యారే
Koniki	కొణికి
Nandi	నంది
Numbers	నంబర్స్
Zidovudine	జిడోవుడిన్
Visual	విజువల్
Bikrami	బిక్రమి
Konkani	కొంకణి
Koch	కోచ్
Greenidge	గ్రీనిడ్జ్
Kaprekar	కప్రేకర్
Allauddin	అల్లావుద్దీన్
Ghatotkacha	ఘటోత్కచుడు
Vedika	వేదిక
Broccoli	బ్రోకలీ
Dalwai	దల్వాయ్
Garland	గార్లాండ్
Toorpu	తూర్పు
Phulwara	ఫల్వార
Ameenpur	అమీనాపూర్
Kunti	కుంతీదేవి
de	డా
Don	డాన్
Carnatic	కర్ణాటక
Gongivaripalli	గొంగివారిపల్లె
Eiffel	ఈఫిల్
Voyage	వాయేజ్
Coober	కూబర్‌
Naxalite	నక్సలైటు
Bhagalpur	భాగల్పూర్
Rue	ర్యూ
Nachav	నచ్చావ్
James	జేమ్స్‌
Ravuri	రావూరి
Kashyap	కష్యప్
Halal	హలాల్
IIFA	ఐఫా
NadeemShravan	నదీమ్శ్రవణ్
Mahakaleshwar	మహాకాళేశ్వర
Padmanabhan	పద్మనాభన్
Hubert	హుబెర్ట్
Chloroquine	క్లోరోక్విన్
Yemmiganur	యెమ్మిగనూరు
Mrinal	మృణాళ్
Gupta	గుప్త
Jagannatha	జగన్నాధ
Robert	రాబర్ట్‌
Yesudas	యేసుదాస్
Pooja	పూజా
Farahad	ఫర్హాద్
Agerwal	అగర్వాల్‌
Gibbs	గిబ్స్
Kalyani	కల్యాణి
Caldwell	కాల్డ్వెల్
Miracle	మిరాకిల్
Battery	బ్యాటరీ
Caspian	కాస్పియన్
writing	రైటింగ్
Doval	డోవల్
Balusupadu	బలుసుపాడు
Shantaram	శాంతారాం
Talkies	టాకీస్
Schizophrenia	స్కిజోఫ్రీనియా
Akhadachandi	అఖాడచండీ
Aakatayi	ఆకతాయి
Ramalingaswami	రామలింగస్వామి
Harindranath	హరీంద్రనాథ్
laddu	లడ్డు
App	అప్
Azrael	ఇజ్రాయీల్
Idi	ఇది
Indapur	ఇందాపూర్
Dharmaratna	ధర్మరత్న
Lakshman	లక్ష్మణ్
Spoons	స్పూన్స్
Shweta	శ్వేత
Darsanam	దర్శనము
Tomb	టోంబ్
India	ఈస్టిండియా
Entertainments	ఎంటర్టైన్మెంట్స్
Texas	టెక్సాస్
Moturi	మోటూరి
GNULinux	గ్నూలినక్స్
Vijayakumar	విజయకుమార్
Elfriede	ఎల్ఫ్రిద్
Teen	తీన్
Studios	స్టుడియోస్
Dakshin	దక్షిణ
Bhava	భవ
Toss	టాస్
Mandadam	మందడం
Carpenter	కార్పెంటర్
Chaturdashi	చతుర్దశి
Ekka	ఎక్కా
Pemmasani	పెమ్మసాని
Desert	డెసర్ట్
Pedapatnam	పెదపట్నం
Pradeep	ప్రదీప్
Lena	లెనా
Tetracycline	టెట్రాసైక్లిన్
Wangari	వంగారి
Vadlamuru	వడ్లమూరు
Anthuleni	అంతులేని
Venkataraman	వెంకట్రామన్
Thadivalasa	తాడివలస
Brandes	బ్రాండెస్
Nagaland	నాగాలాండ్
Pingali	పింగళి
Sukender	సుఖేందర్
Mount	మౌంట్
Ganapati	గణపతి
Surayya	సురయ్య
Electron	ఎలక్ట్రాన్
Desoddharakulu	దేశోద్ధారకులు
Paduka	పాదుకా
Subbaramaiah	సుబ్బరామయ్య
Yedanthasthula	ఏడంతస్తుల
Taylor	టేలర్‌
Toli	తోలి
Amravati	అమరావతి
Kollagunta	కొల్లగుంట
Bukkapatnam	బుక్కపట్నం
Jerry	జెర్రీ
Kunkalamarru	కుంకలమర్రు
Jambavati	జాంబవతి
Setty	శెట్టి
Open	ఓపెన్
Hell	హెల్
Raja	రాజా
Aurangabad	ఔరంగాబాద్
Koccharlakota	కొచ్చర్లకోట
Station	స్టేషన్
Tithi	తిథి
Babita	బబితా
sankeertana	కీర్తనలు
Krishnayapalem	కృష్ణాయపాలెం
Bugga	బుగ్గ
Chalukyas	చాళుక్యులు
Nayakudu	నాయకుడు
Savarkar	సావర్కర్
Blockchain	బ్లాక్‌చైన్
Cinematography	సినిమాటోగ్రఫీ
Filmfare	ఫిల్మ్‌ఫేర్
Nani	నాని
Singur	సింగూర్
Gudachari	గూఢచారి
Liquid	లిక్విడ్
Velama	వెలమ
Venkaiah	వెంకయ్య
Melbourne	మెల్‌బోర్న్
Vanitha	వనితా
Hawaii	హవాయి
Ekadashi	ఏకాదశి
Amjad	అంజాద్
Attack	అటాక్
Radionics	రేడియోనిక్స్
Karisma	కరిష్మా
Padandi	పదండి
Macau	మకావు
Rekha	రేఖ
Shatrughna	శత్రుఘ్నుడు
Ramu	రాము
Benin	బెనిన్
Kotumsar	కోతుంసర్
Chaudhuri	చౌదరి
Rayagada	రాయగడ
Lion	లయన్
Trophy	ట్రోఫీ
Jayanti	జయంతి
Mrinalini	మృణాళినీ
Taxiwaala	టాక్సీవాలా
Katrina	కత్రినా
Vanavasamu	వనవాసం
Pancharatra	పాంచరాత్రము
Sunnam	సున్నం
Caroline	కరొలైన్
Kochi	కొచ్చి
Endroyi	యండ్రాయి
GCompris	జీకాంప్రిస్
Bhandari	భండారీ
Sigiriya	సిగిరియా
Vemavaram	వేమవరం
Kinthali	కింతలి
